"Section","Sub Section","Report Title","URL","Display Order"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Airport Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/Airport - Revised.pdf","43"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Auditor General, Office of the","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/Auditor General Budget Analysis.pdf","44"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Board of Ethics","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/Board Of Ethics Budget Analysis.pdf","45"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Board of Police Commissioners and Police Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/Police - Board of Police Commissioners.pdf","46"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Budget Department (Non-Departmental)","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/Budget Dept - Budget Analysis.pdf","47"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Building, Safety, Engineering & Environmental Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/BSEED - Budget Analysis.pdf","48"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Charles H. Wright Museum of African American History (MAAH)","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/MAAH.pdf","49"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","City Clerk, Office of the","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/City Clerk Budget Analysis.pdf","50"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","City Council","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/City Council Budget Analysis.pdf","51"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Civil Rights, Inclusion and Opportunity","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/Civil Rights Budget Analysis.pdf","52"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Department of Innovation & Technology","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget%20Analysis%20Reports/2017-2018/DOiT%20-%20Budget%20Analysis.pdf","53"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Detroit Building Authority","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/Detroit Building Authority Budget Analysis.pdf","54"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Detroit Economic Growth Corporation (DEGC)","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/DEGC Budget Analysis.pdf","55"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Detroit Employment Solutions","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/Detroit Emp Solutions Budget Analysis.pdf","56"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Detroit Transportation Corporation (People Mover)","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/DTC - Budget Analysis.pdf","57"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Detroit Water & Sewerage Department (DWSD)","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/DWSD Budget Analysis.pdf","58"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Detroit/Wayne County Port Authority","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/Port Authority.pdf","59"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Elections, Department of","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget%20Analysis%20Reports/2017-2018/Elections%20Budget%20Analysis.pdf","60"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Finance Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget%20Analysis%20Reports/2017-2018/Finance%20-%20Budget%20Analysis.pdf","61"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Fire Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget%20Analysis%20Reports/2017-2018/Fire%20Dept%20-%20Budget%20Analysis.pdf","62"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","General Services Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/General Services Budget Analysis.pdf","63"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Health & Wellness Promotion","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/Health Budget Analysis.pdf","64"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Historical Society","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/Historical Society.pdf","65"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Housing & Revitalization Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/HRD Budget Analysis.pdf","66"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Human Resources Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/Human Resources Budget Analysis.pdf","67"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Inspector General, Office of the","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/Inspector General.pdf","68"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Law Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/Law Dept Budget Analysis.pdf","69"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Library Commission","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/Library Commission.pdf","70"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Mayor's Office","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/Mayors Office Budget Analysis.pdf","71"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Media Services Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/Media Services Budget Analysid.pdf","72"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Municipal Parking Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/Municipal Parking Budget Analysis.pdf","73"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Ombudsman, Office of the","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/Ombudsman Budget Analysis.pdf","74"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Planning & Development Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/Planning and Development Department Budget Analysis.pdf","75"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Public Lighting Authority/Public Lighting Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/PLA and PLD Budget Analysis.pdf","76"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Public Works, Department of","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/DPW - Budget Analysis.pdf","77"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Recreation Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/Recreation - Budget Analysis.pdf","78"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Transportation Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/D-DOT Budget Analysis.pdf","79"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Zoning Appeals, Board of","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/BZA Budget Analysis.pdf","80"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Zoological Society","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/Zoological Society.pdf","81"
"Budget Analysis Reports","2016 - 2017 Budget Analysis Reports","36th District Court","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2016-2017/36th District Court.pdf","82"
"Budget Analysis Reports","2016 - 2017 Budget Analysis Reports","Airport Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2016-2017/Airport.pdf","83"
"Budget Analysis Reports","2016 - 2017 Budget Analysis Reports","Blight Remediation","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2016-2017/Blight Remediation.pdf","84"
"Budget Analysis Reports","2016 - 2017 Budget Analysis Reports","Board of Ethics","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2016-2017/Board of Ethics.pdf","85"
"Budget Analysis Reports","2016 - 2017 Budget Analysis Reports","Board of Zoning Appeals","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2016-2017/Board of Zoning Appeals.pdf","86"
"Budget Analysis Reports","2016 - 2017 Budget Analysis Reports","Buildings, Safety, Engineering & Environmental Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2016-2017/BSEED.pdf","87"
"Budget Analysis Reports","2016 - 2017 Budget Analysis Reports","City Council","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2016-2017/City Council.pdf","88"
"Budget Analysis Reports","2016 - 2017 Budget Analysis Reports","Department of Administrative Hearings","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2016-2017/Administrative Hearings.pdf","89"
"Budget Analysis Reports","2016 - 2017 Budget Analysis Reports","Department of Innovation and Technology","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2016-2017/DoIT.pdf","90"
"Budget Analysis Reports","2016 - 2017 Budget Analysis Reports","Detroit Building Authority","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2016-2017/Detroit Building Authority.pdf","91"
"Budget Analysis Reports","2016 - 2017 Budget Analysis Reports","Detroit Economic Growth Corporation","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2016-2017/DEGC.pdf","92"
"Budget Analysis Reports","2016 - 2017 Budget Analysis Reports","Detroit Transportation Corporation (People Mover)","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2016-2017/DTC  2016-2017 Budget Analysis.pdf","93"
"Budget Analysis Reports","2016 - 2017 Budget Analysis Reports","Detroit/Wayne County Port Authority","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2016-2017/Port Authority.pdf","94"
"Budget Analysis Reports","2016 - 2017 Budget Analysis Reports","Finance Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2016-2017/Finance Dept.pdf","95"
"Budget Analysis Reports","2016 - 2017 Budget Analysis Reports","Fire Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2016-2017/Fire Dept.pdf","96"
"Budget Analysis Reports","2016 - 2017 Budget Analysis Reports","General Services Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2016-2017/General Services Dept.pdf","97"
"Budget Analysis Reports","2016 - 2017 Budget Analysis Reports","Health & Wellness Promotion, Department of","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2016-2017/Health and Wellness Promotion.pdf","98"
"Budget Analysis Reports","2016 - 2017 Budget Analysis Reports","Historical Society","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2016-2017/Historical Society.pdf","99"
"Budget Analysis Reports","2016 - 2017 Budget Analysis Reports","Housing & Revitalization Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2016-2017/Housing and Revitalization.pdf","100"
"Budget Analysis Reports","2016 - 2017 Budget Analysis Reports","Human Resources Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2016-2017/Human Resources.pdf","101"
"Budget Analysis Reports","2016 - 2017 Budget Analysis Reports","Human Rights Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2016-2017/Human Rights.pdf","102"
"Budget Analysis Reports","2016 - 2017 Budget Analysis Reports","Inspector General, Office of the","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2016-2017/Inspector General.pdf","103"
"Budget Analysis Reports","2016 - 2017 Budget Analysis Reports","Law Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2016-2017/Law Dept.pdf","104"
"Budget Analysis Reports","2016 - 2017 Budget Analysis Reports","Library Commission","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2016-2017/Library Commission.pdf","105"
"Budget Analysis Reports","2016 - 2017 Budget Analysis Reports","Mayor's Office","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2016-2017/Mayors Office.pdf","106"
"Budget Analysis Reports","2016 - 2017 Budget Analysis Reports","Media Services Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2016-2017/Media Services.pdf","107"
"Budget Analysis Reports","2016 - 2017 Budget Analysis Reports","Municipal Parking Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2016-2017/Municipal Parking.pdf","108"
"Budget Analysis Reports","2016 - 2017 Budget Analysis Reports","Museum of African American History","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2016-2017/MAAH.pdf","109"
"Budget Analysis Reports","2016 - 2017 Budget Analysis Reports","Non-Departmental","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2016-2017/Non Departmental.pdf","110"
"Budget Analysis Reports","2016 - 2017 Budget Analysis Reports","Planning & Development Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2016-2017/Planning and Development.pdf","111"
"Budget Analysis Reports","2016 - 2017 Budget Analysis Reports","Police Department and Board of Police Commissioners","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2016-2017/Police and Board of Police Commissioners.pdf","112"
"Budget Analysis Reports","2016 - 2017 Budget Analysis Reports","Public Lighting Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2016-2017/Public Lighting.pdf","113"
"Budget Analysis Reports","2016 - 2017 Budget Analysis Reports","Public Works, Department of","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2016-2017/Department of Public Works.pdf","114"
"Budget Analysis Reports","2016 - 2017 Budget Analysis Reports","Recreation Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2016-2017/Recreation.pdf","115"
"Budget Analysis Reports","2016 - 2017 Budget Analysis Reports","Transportation, Department of","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2016-2017/DOT 2016-2017 Budget Analysis.pdf","116"
